,Name,Series title,Country of publication,Material type,Place of publication,Publisher,Genre,Languages
140,"Williams, Todd O.",Routledge studies in world literatures and the environment,England,Volume,London,Routledge,,English
141,"Williams, Todd O.",Routledge studies in world literatures and the environment,England,Online resource (Mobipocket ebook ; ePub ebook ; PDF ebook ; ebook),London,Routledge,,English
142,"Roe, Dinah",,England,Volume,Basingstoke,Palgrave Macmillan,,English
143,"Palazzo, Lynda",Cross-currents in religion and culture,England,Volume,Basingstoke,Palgrave,,English
144,"Trowbridge, Serena",Continuum literary studies,England,Volume,London,Bloomsbury,,English
145,"Trowbridge, Serena",,England,Volume,London,Bloomsbury,,English
146,"Trowbridge, Serena",Bloomsbury Literary Studies,United States of America,Online resource,New York,Bloomsbury,Criticsm and interpretation ; History,English
147,"Zaturenska, Marya",,United States of America,Volume,New York,Macmillan,,
148,"Shove, Fredegond",,,Volume,Cambridge,University Press,,
149,"Sawtell, Margaret",,England,Volume,London,A. R. Mowbray,,
150,"Bell, Henry Thomas Mackenzie",,England,Volume,London,Hurst & Blackett,,
151,,Anthem nineteenth century studies,England,Online resource,London,Anthem,Biography ; Criticsm and interpretation ; History,English
152,"Darke, Harold",,England,Volume,London,Stainer & Bell,,English
153,"Jackson, Gabriel",Oxford carols,England,Volume,Oxford,Oxford University Press,Music,English
154,"Rossetti, Christina Georgina",Christmas Booklets,England,Volume,London,S.P.C.K,,
155,,Always learning,England,Volume,"Harlow, Essex",Pearson,,English
156,"Finzi, Gerald",,England,Volume,"Milwaukee, Wisconsin",Boosey & Hawkes ; Hal Leonard,,English
157,"Finzi, Gerald",,England,Volume,"Milwaukee, Wisconsin",Boosey & Hawkes ; Hal Leonard,,English
158,"Rossetti, Christina Georgina",,England,Volume,London,Macmillan,,
159,"Rossetti, Christina Georgina",,England,Volume,London,Macmillan,,
160,"Rossetti, Christina Georgina",,England,Volume,London,Macmillan,,
161,"Rossetti, Christina Georgina",,England,Volume,London,Macmillan,,
